Bryce Harper,RF,26.3,L,R,WSH,PHI,13,"$330,000,000","$25,384,615",137,100,34,0.249,0.889,,,,,,1.3
Manny Machado,3B,26.6,R,R,LAD,SD,10,"$300,000,000","$30,000,000",188,107,37,0.297,0.905,,,,,,2.91
Patrick Corbin,SP,29.3,L,L,ARI,WSH,6,"$140,000,000","$23,333,333",12,5,,0.197,0.435,200,3.15,1.05,11,,4.58
Nathan Eovaldi,SP,28.8,R,R,BOS,BOS,4,"$68,000,000","$17,000,000",1,1,,0.111,0.311,111,3.81,1.13,7,,0.74
A.J. Pollock,LF,31.1,R,R,ARI,LAD,5,"$60,000,000","$12,000,000",106,65,21,0.257,0.800,,,,,,2.49
Andrew McCutchen,RF,32.2,R,R,NYY,PHI,3,"$50,000,000","$16,666,667",145,65,20,0.255,0.792,,,,,,1.95
Craig Kimbrel,RP,31.0,R,R,BOS,CHC,3,"$43,000,000","$14,333,333",,,,,,62.3,2.74,1.00,5,42,2.3
Zack Britton,RP,31.0,L,L,NYY,NYY,3,"$39,000,000","$13,000,000",,,,,,40.7,3.10,1.23,2,7,0.34
J.A. Happ,SP,36.1,L,L,NYY,NYY,2,"$34,000,000","$17,000,000",2,,,0.333,0.762,177.7,3.65,1.13,17,,1.18
Michael Brantley,LF,31.6,L,L,CLE,HOU,2,"$32,000,000","$16,000,000",176,76,17,0.309,0.832,,,,,,3.58
Jeurys Familia,RP,29.2,R,R,OAK,NYM,3,"$30,000,000","$10,000,000",,,,,,72,3.13,1.22,8,18,1.13
Charlie Morton,SP,35.1,R,R,HOU,TB,2,"$30,000,000","$15,000,000",1,,,0.167,0.334,167,3.13,1.16,15,,3.47
Lance Lynn,SP,31.6,S,R,NYY,TEX,3,"$30,000,000","$10,000,000",,,,,,156.7,4.77,1.53,10,,0.33
Adam Ottavino,RP,33.1,S,R,COL,NYY,3,"$27,000,000","$9,000,000",,,,,,77.7,2.43,0.99,6,6,2.64
Andrew Miller,RP,33.6,L,L,CLE,STL,2,"$25,000,000","$12,500,000",,,,,,34,4.24,1.38,2,2,0.18
Joe Kelly,RP,30.5,R,R,BOS,LAD,3,"$25,000,000","$8,333,333",,,,,,65.7,4.39,1.36,4,2,0.46
D.J. LeMahieu,3B,30.4,R,R,COL,NYY,2,"$24,000,000","$12,000,000",147,62,15,0.276,0.749,,,,,,3.03
Daniel Murphy,1B,33.7,L,R,CHC,COL,2,"$24,000,000","$12,000,000",98,42,12,0.299,0.790,,,,,,-0.77
David Robertson,RP,33.7,R,R,NYY,PHI,2,"$23,000,000","$11,500,000",,,,,,69.7,3.23,1.03,8,5,0.95
Josh Donaldson,3B,32.9,R,R,CLE,ATL,1,"$23,000,000","$23,000,000",46,23,8,0.246,0.801,,,,,,0.54
Dallas Keuchel,SP,31.4,L,L,HOU,ATL,1,"$21,210,000","$21,210,000",,,,,,204.7,3.74,1.31,12,,2.62
Marwin Gonzalez,3B,29.9,S,R,HOU,MIN,2,"$21,000,000","$10,500,000",121,68,16,0.247,0.733,,,,,,2.47
Jed Lowrie,2B,34.7,S,R,OAK,NYM,2,"$20,000,000","$10,000,000",159,99,23,0.267,0.801,,,,,,4.8
