David Price,SP,30.2,L,L,TOR,BOS,7,"$217,000,000","$31,000,000"
Zack Greinke,SP,32.1,R,R,LAD,ARI,6,"$206,500,000","$34,416,667"
Jason Heyward,RF,26.3,L,L,STL,CHC,8,"$184,000,000","$23,000,000"
Chris Davis,1B,29.8,L,R,BAL,BAL,7,"$161,000,000","$23,000,000"
Justin Upton,LF,28.3,R,R,SD,DET,6,"$132,750,000","$22,125,000"
Johnny Cueto,SP,29.8,R,R,KC,SF,6,"$130,000,000","$21,666,667"
Jordan Zimmermann,SP,29.5,R,R,WSH,DET,5,"$110,000,000","$22,000,000"
Jeff Samardzija,SP,30.8,R,R,CHW,SF,5,"$90,000,000","$18,000,000"
Wei-Yin Chen,RP,30.4,R,L,BAL,MIA,5,"$80,000,000","$16,000,000"
Mike Leake,SP,28.1,R,R,SF,STL,5,"$80,000,000","$16,000,000"
Alex Gordon,OF,31.8,L,R,KC,KC,4,"$72,000,000","$18,000,000"
Ian Kennedy,RP,31.0,R,R,SD,KC,5,"$70,000,000","$14,000,000"
Ben Zobrist,2B,34.5,S,R,KC,CHC,4,"$56,000,000","$14,000,000"
Scott Kazmir,SP,31.9,L,L,HOU,LAD,3,"$48,000,000","$16,000,000"
Daniel Murphy,1B,30.7,L,R,NYM,WSH,3,"$37,500,000","$12,500,000"
J.A. Happ,SP,33.1,L,L,PIT,TOR,3,"$36,000,000","$12,000,000"
John Lackey,SP,37.1,R,R,STL,CHC,2,"$32,000,000","$16,000,000"
Denard Span,LF,31.8,L,L,WSH,SF,3,"$31,000,000","$10,333,333"
Darren O'Day,RP,33.1,R,R,BAL,BAL,4,"$31,000,000","$7,750,000"
Gerardo Parra,RF,28.7,L,L,BAL,COL,3,"$27,500,000","$9,166,667"
Marco Estrada,SP,32.3,R,R,TOR,TOR,2,"$26,000,000","$13,000,000"
Joakim Soria,RP,31.5,R,R,PIT,KC,3,"$25,000,000","$8,333,333"
Yovani Gallardo,SP,29.9,R,R,TEX,BAL,2,"$22,000,000","$11,000,000"
Ryan Madson,RP,35.2,L,R,KC,OAK,3,"$22,000,000","$7,333,333"
Howie Kendrick,2B,32.5,R,R,LAD,LAD,2,"$20,000,000","$10,000,000"
Asdrubal Cabrera,2B,30.0,S,R,TB,NYM,2,"$18,500,000","$9,250,000"
Tony Sipp,RP,32.3,L,L,HOU,HOU,3,"$18,000,000","$6,000,000"
Mike Pelfrey,RP,31.8,R,R,MIN,DET,2,"$16,000,000","$8,000,000"
Shawn Kelley,RP,31.6,R,R,SD,WSH,3,"$15,000,000","$5,000,000"
Dexter Fowler,RF,29.9,S,R,CHC,CHC,1,"$13,000,000","$13,000,000"
Chris Young,RF,32.2,R,R,NYY,BOS,2,"$13,000,000","$6,500,000"
Tyler Clippard,RP,30.9,R,R,NYM,ARI,2,"$12,250,000","$6,125,000"
Antonio Bastardo,RP,30.2,R,L,PIT,NYM,2,"$12,000,000","$6,000,000"
Hisashi Iwakuma,SP,34.7,R,R,SEA,SEA,1,"$12,000,000","$12,000,000"
Chris Young,RP,36.5,R,R,KC,KC,2,"$11,500,000","$5,750,000"
Mark Lowe,RP,32.5,L,R,TOR,DET,2,"$11,000,000","$5,500,000"
Steve Cishek,RP,29.4,R,R,STL,SEA,2,"$10,000,000","$5,000,000"
John Axford,RP,32.7,R,R,COL,OAK,2,"$10,000,000","$5,000,000"
Jason Motte,RP,33.4,R,R,CHC,COL,2,"$10,000,000","$5,000,000"
Ian Desmond,CF,30.4,R,R,WSH,TEX,1,"$8,000,000","$8,000,000"
John Jaso,RF,32.2,L,R,TB,PIT,2,"$8,000,000","$4,000,000"
Jonathan Broxton,RP,31.4,R,R,STL,STL,2,"$7,500,000","$3,750,000"
Mike Minor,SP,28.1,R,L,ATL,KC,2,"$7,250,000","$3,625,000"
Bartolo Colon,SP,42.5,R,R,NYM,NYM,1,"$7,250,000","$7,250,000"
Doug Fister,SP,31.9,L,R,WSH,HOU,1,"$7,000,000","$7,000,000"
Mike Napoli,1B,34.1,R,R,TEX,CLE,1,"$7,000,000","$7,000,000"
Chase Utley,2B,36.9,L,R,LAD,LAD,1,"$7,000,000","$7,000,000"
Oliver Perez,RP,34.2,L,L,HOU,WSH,2,"$7,000,000","$3,500,000"
Colby Lewis,SP,36.3,R,R,TEX,TEX,1,"$6,000,000","$6,000,000"
Chad Qualls,RP,37.2,R,R,HOU,COL,2,"$6,000,000","$3,000,000"
Rich Hill,SP,35.7,L,L,BOS,OAK,1,"$6,000,000","$6,000,000"
Pedro Alvarez,1B,29.1,L,R,PIT,BAL,1,"$5,750,000","$5,750,000"
Alejandro De Aza,LF,31.7,L,L,SF,NYM,1,"$5,750,000","$5,750,000"
Norichika Aoki,LF,33.8,L,R,SF,SEA,1,"$5,500,000","$5,500,000"
Tyler Flowers,C,29.8,R,R,CHW,ATL,2,"$5,300,000","$2,650,000"
Rajai Davis,CF,35.1,R,R,DET,CLE,1,"$5,250,000","$5,250,000"
Austin Jackson,CF,29.1,R,R,CHC,CHW,1,"$5,000,000","$5,000,000"
Brayan Pena,C,33.8,S,R,CIN,STL,2,"$5,000,000","$2,500,000"
Steven Pearce,1B,32.8,R,R,BAL,TB,1,"$4,750,000","$4,750,000"
Henderson Alvarez,SP,25.7,R,R,MIA,OAK,1,"$4,250,000","$4,250,000"
Trevor Cahill,RP,27.8,R,R,CHC,CHC,1,"$4,250,000","$4,250,000"
Chris Iannetta,C,32.6,R,R,LAA,SEA,1,"$4,250,000","$4,250,000"
Juan Uribe,3B,36.8,R,R,NYM,CLE,1,"$4,000,000","$4,000,000"
Joe Blanton,RP,35.1,R,R,PIT,LAD,1,"$4,000,000","$4,000,000"
Alexei Ramirez,SS,34.2,R,R,CHW,SD,1,"$4,000,000","$4,000,000"
Jerry Blevins,RP,32.2,L,L,NYM,NYM,1,"$4,000,000","$4,000,000"
Dioner Navarro,C,31.8,S,R,TOR,CHW,1,"$4,000,000","$4,000,000"
Neftali Feliz,RP,27.7,R,R,DET,PIT,1,"$3,900,000","$3,900,000"
David Hernandez,RP,30.5,R,R,ARI,PHI,1,"$3,900,000","$3,900,000"
Cliff Pennington,SS,31.4,S,R,TOR,LAA,2,"$3,750,000","$1,875,000"
Tony Barnette,RP,32.1,R,R,ARI,TEX,2,"$3,500,000","$1,750,000"
David Freese,1B,32.8,R,R,LAA,PIT,1,"$3,000,000","$3,000,000"
Stephen Drew,2B,32.8,L,R,NYY,WSH,1,"$3,000,000","$3,000,000"
Juan Nicasio,RP,29.2,R,R,LAD,PIT,1,"$3,000,000","$3,000,000"
Yusmeiro Petit,RP,31.0,R,R,SF,WSH,1,"$3,000,000","$3,000,000"
A.J. Pierzynski,C,38.8,L,R,ATL,ATL,1,"$3,000,000","$3,000,000"
Geovany Soto,C,32.8,R,R,CHW,LAA,1,"$2,800,000","$2,800,000"
Tim Lincecum,RP,31.9,L,R,SF,LAA,1,"$2,500,000","$2,500,000"
Chris Carter,1B,29.0,R,R,HOU,MIL,1,"$2,500,000","$2,500,000"
Edward Mujica,RP,31.6,R,R,OAK,PHI,1,"$2,500,000","$2,500,000"
Sean Rodriguez,2B,30.6,R,R,PIT,PIT,1,"$2,500,000","$2,500,000"
Jim Johnson,RP,32.4,R,R,LAD,ATL,1,"$2,500,000","$2,500,000"
Bud Norris,RP,30.7,R,R,SD,ATL,1,"$2,500,000","$2,500,000"
Alex Avila,C,28.8,L,R,DET,CHW,1,"$2,500,000","$2,500,000"
Matt Albers,RP,33.0,L,R,CHW,CHW,1,"$2,250,000","$2,250,000"
Franklin Morales,RP,30.2,L,L,MIL,TOR,1,"$2,000,000","$2,000,000"
Alfredo Simon,SP,34.8,R,R,DET,CIN,1,"$2,000,000","$2,000,000"
Jimmy Rollins,SS,37.2,S,R,LAD,CHW,1,"$2,000,000","$2,000,000"
Tommy Hunter,RP,29.6,R,R,CHC,CLE,1,"$2,000,000","$2,000,000"
Bronson Arroyo,SP,38.9,R,R,LAD,WSH,1,"$2,000,000","$2,000,000"
Fernando Rodney,RP,38.8,R,R,CHC,SD,1,"$2,000,000","$2,000,000"
Kelly Johnson,2B,33.8,L,R,NYM,ATL,1,"$2,000,000","$2,000,000"
Mike Aviles,3B,34.8,R,R,CLE,DET,1,"$2,000,000","$2,000,000"
Ryan Vogelsong,SP,38.3,R,R,SF,PIT,1,"$2,000,000","$2,000,000"
Eric O'Flaherty,RP,31.0,L,L,NYM,PIT,1,"$1,750,000","$1,750,000"
